onset	duration	trial_type
6.591309	0.0	MU_01
6.993164	0.0	MU_00
7.472656	0.0	MU_01
7.949219	0.0	MU_00
8.020508	0.0	MU_03
8.116699	0.0	MU_01
8.16748	0.0	MU_00
8.602051	0.0	MU_03
8.874512	0.0	MU_00
8.88623	0.0	MU_01
8.947754	0.0	MU_02
9.186035	0.0	MU_00
9.350586	0.0	MU_03
9.82666	0.0	MU_02
9.936035	0.0	MU_00
10.1875	0.0	MU_02
10.330566	0.0	MU_00
10.462891	0.0	MU_03
10.59082	0.0	MU_01
10.621582	0.0	MU_02
10.717285	0.0	MU_02
10.803711	0.0	MU_00
10.819824	0.0	MU_03
10.914062	0.0	MU_00
11.111328	0.0	MU_01
11.163086	0.0	MU_00
11.327148	0.0	MU_00
11.512695	0.0	MU_02
11.59082	0.0	MU_01
11.826172	0.0	MU_00
12.045898	0.0	MU_02
12.087402	0.0	MU_00
12.163574	0.0	MU_01
12.403809	0.0	MU_01
12.418457	0.0	MU_03
12.58252	0.0	MU_04
12.634766	0.0	MU_04
12.679199	0.0	MU_03
12.778809	0.0	MU_04
12.89502	0.0	MU_00
12.944824	0.0	MU_00
13.038086	0.0	MU_01
13.316895	0.0	MU_03
13.449219	0.0	MU_04
13.471191	0.0	MU_03
13.611816	0.0	MU_02
13.70166	0.0	MU_04
13.819824	0.0	MU_01
13.824219	0.0	MU_00
13.869629	0.0	MU_01
13.960449	0.0	MU_01
14.055176	0.0	MU_02
14.357422	0.0	MU_03
14.399414	0.0	MU_00
14.449219	0.0	MU_00
14.633301	0.0	MU_03
14.683105	0.0	MU_03
14.686523	0.0	MU_01
14.693848	0.0	MU_04
15.049805	0.0	MU_04
15.053711	0.0	MU_03
15.099609	0.0	MU_04
15.311035	0.0	MU_01
15.410156	0.0	MU_00
15.427734	0.0	MU_02
15.4375	0.0	MU_04
15.501465	0.0	MU_00
15.591309	0.0	MU_00
15.686035	0.0	MU_04
15.907227	0.0	MU_03
15.921387	0.0	MU_04
16.022461	0.0	MU_01
16.106934	0.0	MU_03
16.116211	0.0	MU_02
16.117676	0.0	MU_01
16.285156	0.0	MU_04
16.520996	0.0	MU_02
16.677734	0.0	MU_03
16.757324	0.0	MU_04
16.940918	0.0	MU_04
16.990723	0.0	MU_04
17.144043	0.0	MU_01
17.189453	0.0	MU_00
17.307617	0.0	MU_02
17.35498	0.0	MU_03
17.404785	0.0	MU_03
17.555176	0.0	MU_04
17.65332	0.0	MU_03
17.821289	0.0	MU_04
18.158691	0.0	MU_04
18.541504	0.0	MU_01
18.746094	0.0	MU_01
18.799805	0.0	MU_01
19.098145	0.0	MU_01
19.141113	0.0	MU_00
19.16748	0.0	MU_03
19.423828	0.0	MU_01
19.424316	0.0	MU_00
19.449219	0.0	MU_02
19.504395	0.0	MU_01
19.631836	0.0	MU_00
19.632324	0.0	MU_01
19.743164	0.0	MU_00
19.809082	0.0	MU_01
19.914551	0.0	MU_04
20.130371	0.0	MU_03
20.152344	0.0	MU_02
20.154297	0.0	MU_01
20.17627	0.0	MU_04
20.285156	0.0	MU_03
20.578613	0.0	MU_01
20.713379	0.0	MU_04
20.777832	0.0	MU_02
20.861816	0.0	MU_01
20.911621	0.0	MU_01
20.961426	0.0	MU_01
21.109863	0.0	MU_02
21.191895	0.0	MU_02
21.241211	0.0	MU_00
21.282227	0.0	MU_03
21.413574	0.0	MU_04
21.416504	0.0	MU_03
21.458008	0.0	MU_02
21.509277	0.0	MU_00
21.575195	0.0	MU_04
21.61084	0.0	MU_02
21.655273	0.0	MU_04
21.760742	0.0	MU_01
22.204102	0.0	MU_04
22.324219	0.0	MU_02
22.340332	0.0	MU_01
22.381836	0.0	MU_02
22.45752	0.0	MU_00
22.583496	0.0	MU_01
22.626953	0.0	MU_02
22.926758	0.0	MU_00
22.947754	0.0	MU_03
22.976562	0.0	MU_00
23.128418	0.0	MU_03
23.269531	0.0	MU_02
23.312988	0.0	MU_04
23.319336	0.0	MU_02
23.564941	0.0	MU_02
23.585938	0.0	MU_00
23.604492	0.0	MU_04
23.626465	0.0	MU_02
23.671387	0.0	MU_00
23.67334	0.0	MU_04
23.687012	0.0	MU_03
23.728516	0.0	MU_04
23.74707	0.0	MU_01
23.761719	0.0	MU_03
23.796875	0.0	MU_01
