onset	duration	trial_type
5.119629	0.0	MU_00
5.541016	0.0	MU_01
6.225098	0.0	MU_03
6.37793	0.0	MU_00
6.65918	0.0	MU_00
7.064941	0.0	MU_04
7.163574	0.0	MU_00
7.219238	0.0	MU_04
7.272949	0.0	MU_01
7.40625	0.0	MU_03
7.495117	0.0	MU_01
7.580078	0.0	MU_04
7.617188	0.0	MU_00
7.669922	0.0	MU_05
7.937012	0.0	MU_04
7.965332	0.0	MU_05
8.132324	0.0	MU_07
8.285645	0.0	MU_04
8.53125	0.0	MU_06
8.597656	0.0	MU_08
8.709473	0.0	MU_08
8.977539	0.0	MU_08
8.983398	0.0	MU_04
9.086426	0.0	MU_07
9.137207	0.0	MU_01
9.200195	0.0	MU_08
9.307129	0.0	MU_05
9.46875	0.0	MU_05
9.481445	0.0	MU_07
9.483887	0.0	MU_03
9.486328	0.0	MU_01
9.530273	0.0	MU_04
9.536133	0.0	MU_01
9.623047	0.0	MU_00
9.654785	0.0	MU_08
9.669434	0.0	MU_01
9.70459	0.0	MU_08
9.73291	0.0	MU_03
9.777344	0.0	MU_00
9.812012	0.0	MU_07
9.866211	0.0	MU_06
9.867188	0.0	MU_08
9.889648	0.0	MU_02
9.894043	0.0	MU_03
9.916992	0.0	MU_08
9.946777	0.0	MU_04
10.009277	0.0	MU_06
10.024414	0.0	MU_09
10.135742	0.0	MU_06
10.139648	0.0	MU_04
10.189453	0.0	MU_04
10.219727	0.0	MU_09
10.220703	0.0	MU_02
10.269531	0.0	MU_09
10.288086	0.0	MU_07
10.3125	0.0	MU_02
10.387695	0.0	MU_03
10.393555	0.0	MU_06
10.407227	0.0	MU_04
10.42041	0.0	MU_02
10.519043	0.0	MU_08
10.58252	0.0	MU_08
10.584473	0.0	MU_03
10.587402	0.0	MU_09
10.677734	0.0	MU_05
10.753906	0.0	MU_09
10.805176	0.0	MU_03
10.806152	0.0	MU_00
10.814941	0.0	MU_08
10.846191	0.0	MU_05
11.001953	0.0	MU_00
11.055664	0.0	MU_08
11.075195	0.0	MU_04
11.13623	0.0	MU_05
11.166016	0.0	MU_03
11.259277	0.0	MU_07
11.315918	0.0	MU_05
11.365723	0.0	MU_05
11.525879	0.0	MU_03
11.543945	0.0	MU_09
11.575684	0.0	MU_03
11.603027	0.0	MU_02
11.689941	0.0	MU_07
11.790039	0.0	MU_06
11.809082	0.0	MU_07
11.851074	0.0	MU_03
11.858887	0.0	MU_07
11.865234	0.0	MU_05
11.915039	0.0	MU_05
11.948242	0.0	MU_04
11.957031	0.0	MU_06
12.035645	0.0	MU_02
12.098145	0.0	MU_02
12.150391	0.0	MU_06
12.17041	0.0	MU_04
12.19873	0.0	MU_09
12.216309	0.0	MU_07
12.233887	0.0	MU_08
12.260254	0.0	MU_03
12.30127	0.0	MU_04
12.329102	0.0	MU_07
12.383301	0.0	MU_01
12.384766	0.0	MU_09
12.413086	0.0	MU_04
12.428223	0.0	MU_08
12.43457	0.0	MU_09
