name	x	y	z	coordinate_system	type	material	impedance	group
E1	0	0	0	grid1	EMG	Ag/AgCl	n/a	grid1
E2	8	0	0	grid1	EMG	Ag/AgCl	n/a	grid1
E3	16	0	0	grid1	EMG	Ag/AgCl	n/a	grid1
E4	0	8	0	grid1	EMG	Ag/AgCl	n/a	grid1
E5	8	8	0	grid1	EMG	Ag/AgCl	n/a	grid1
E6	16	8	0	grid1	EMG	Ag/AgCl	n/a	grid1
E7	0	16	0	grid1	EMG	Ag/AgCl	n/a	grid1
E8	8	16	0	grid1	EMG	Ag/AgCl	n/a	grid1
E9	16	16	0	grid1	EMG	Ag/AgCl	n/a	grid1
E10	0	0	0	grid2	EMG	Ag/AgCl	n/a	grid2
E11	8	0	0	grid2	EMG	Ag/AgCl	n/a	grid2
E12	16	0	0	grid2	EMG	Ag/AgCl	n/a	grid2
E13	0	8	0	grid2	EMG	Ag/AgCl	n/a	grid2
E14	8	8	0	grid2	EMG	Ag/AgCl	n/a	grid2
E15	16	8	0	grid2	EMG	Ag/AgCl	n/a	grid2
E16	0	16	0	grid2	EMG	Ag/AgCl	n/a	grid2
E17	8	16	0	grid2	EMG	Ag/AgCl	n/a	grid2
E18	16	16	0	grid2	EMG	Ag/AgCl	n/a	grid2
R1	0	0	0	lowerLeg	REF	Ag/AgCl	n/a	n/a
R2	0	0	0	lowerLeg	REF	Ag/AgCl	n/a	n/a
